Uniq Id,Crawl Timestamp,Pageurl,Website,Title,Rating,Review,Reviewer Name,Review Upvotes,Review Downvotes,Verified Purchaser,Recommended Purchase,Review Date,Five Star,Four Star,Three Star,Two Star,One Star
1800878dcfa5255c691f2a87ce8b2869,2020-05-16 17:58:33 +0000,https://www.walmart.com/reviews/product/36907838,walmart.com,,1,"One star for looking nice. That’s it. After trying and trying to par it to my iPhone (which it finally did) , the sound quality was so bad, I could not understand one word! Waste of money.",PJ10,0,0,No,No,7/28/2018,23,5,1,3,6
ac06ca1b77310d539c9a74eed7a8a8e2,2020-04-17 01:05:43 +0000,https://www.walmart.com/reviews/product/708236785,walmart.com,,4,Love this phone so far have had it almost a month and had no bad problems with it. The reason I gave it 4 stars it because the battery takes forever to charge!! Other than that great phone!!,KelJo,9,3,No,No,11/14/2017,91,23,13,9,31
9c4b10fff4e5e2cc7e2e1bbed76e2220,2020-06-08 10:35:05 +0000,https://www.walmart.com/reviews/product/831078728,walmart.com,,4,"This TV is absolutely fantastic. This is my third 4k TV and it blows away everything I have had previously (even the more expensive sets). Brightness is unbelievable, HDR is perfect, SONY's motion processor is by far the best on the market, and android TV is unbelievably smooth on this tv (compared to an NVIDIA shield, apple tv, and firestick). Concerns about back lighting zones and haloing are extremely overblown. Yes you will see some haloing, but you will see this on every single non-oled TV. Is it as good as the top Samsung or Vizio at controlling haloing, absolutely not, but this TV blows away the competition in pretty much every other category. Concerns about lower native contrast ratio have no standing in real world viewing. Anyone who is complaining about this has not ever really watched this TV. I only have one complaint that knocks this TV from a perfect 5 star review. The reflections are much worse than described. They don't make this TV horrible or unwatchable but they are definitely a let down for such a premium product. I think this has to do with the wide angle filter, you get reflections from all over the place that would normally not be an issue. Again not the end of the world and really as long as you have some light control in your room its fine, but this is not the TV for a room with lots of large windows. Speaking of the wide angle filter it really does work well. Best viewing angles I've ever seen. To sum it all up fantastic TV, needs a little work on the viewing angles. For the price they are selling these for now there is absolutely no better deal, these won't be around much longer but while they are they are a steal.",TheBigChalupa11,0,0,Yes,No,5/20/2020,32,8,1,0,0
b5a5dc8de9fc0468aab961f097b56091,2020-04-13 03:57:29 +0000,https://www.walmart.com/reviews/product/40712755,walmart.com,,5,"Refurb, good shape, good price, does what I want it to do.",Micalic,0,0,No,No,7/9/2019,418,62,17,1,13
430433b52b882e540c16363d448e012b,2020-05-19 03:52:42 +0000,https://www.walmart.com/reviews/product/46597970,walmart.com,,5,Very nice tablet! Looks brand new. Fired right up with no problems. Very happy with purchase. Great price point too.,jcan74,0,0,No,No,2/11/2020,213,57,25,24,87
75359904b511a5766a76348a3de2203a,2020-04-13 04:26:38 +0000,https://www.walmart.com/reviews/product/49987014,walmart.com,,5,I purchased it a few months ago because my son and i love to watch movies and one of his favorite movies we could only find on blu ray and man did we both get more then i paid for its internet and me adding Netflix it keeps us both busy and the picture and sound quality whoa....it was awesome plugging it in it hooked it's own self up to the internet,MarkeyMark,0,0,Yes,No,7/1/2019,1371,425,149,82,312
f9b66f9350b442aa588357a909b0e2b1,2020-04-13 04:16:38 +0000,https://www.walmart.com/reviews/product/837383635,walmart.com,,5,great sound quality.... highly recommend!! Great for vacations,Roza,17,1,Yes,No,2/4/2016,436,90,33,23,42
84c5a9283d9057ba3cb75fe5a72e1fcc,2020-05-04 04:31:56 +0000,https://www.walmart.com/reviews/product/618148718,walmart.com,,1,,Kozykole,0,0,No,No,2/26/2020,127,44,35,28,44
938665d4c828ff65e87d7560e6708755,2020-05-16 17:20:17 +0000,https://www.walmart.com/reviews/product/10402277,walmart.com,,5,"Cheap headphones with extremely good sound quality and hefty bass. Every two years or so one of the speakers will start to go, but at that price I'll gladly replace them, especially since none of the other ear-clip phone come anywhere close for sound quality.",ShadowMaster22,1,2,Yes,No,5/7/2015,29,16,4,4,3
d0b67a048b2598b8a10f6b1e129c8681,2020-06-11 02:04:57 +0000,https://www.walmart.com/reviews/product/799759463,walmart.com,"Straight Talk SAMSUNG Galaxy A10E, 32GB Black - Prepaid Smartphone",5,NA,Jeanetta,0,0,Yes,No,6/2/2020,115,37,13,21,55
2073529f116c17c6ceb14f3fc17b190e,2020-05-21 03:38:30 +0000,https://www.walmart.com/reviews/product/435188866,walmart.com,,4,"The installation was very easy, just as the advertising says. Just plug into any available HDMI port and the power cable into any USB port hanging around. Most recent TV's have plenty of spare ports. If you need to use the power supply you will need to use your own USB/mini USB cable because the included one probably isn't long enough. Just plug in the stuff and follow the onscreen instructions to log in to their website and continue from there. It will find your wifi network and walk you through the connection. The only downside may be that you need to use your phone as the remote. This may or may not be inconvenient depending on how you use your phone. Otherwise, all good, good resolution and sound.",Pongo,0,0,No,No,1/8/2019,302,45,14,11,30
7f6bfacfed9018189d7cf7f5095eb4da,2020-04-08 06:30:41 +0000,https://www.walmart.com/reviews/product/52623140,walmart.com,,4,"Item was advertised by Walmart as refurbished. It was, (I guess) but it did not work properly, I ran the serial number and it was 5 1/2 years old. Very disappointed that Walmart would sell an item that old......",Rusty,56,2,No,No,9/29/2016,14,15,5,6,19
